Metodo,Base,Variavel,Media,Desvio_Padrao,Minimo,Maximo
RAW,01-Credit Card Fraud Detection,time,94813.85957508066,47488.14595456617,0,172792
RAW,01-Credit Card Fraud Detection,v1,1.1665850680621618e-15,1.958695803857486,-56.407509631329,2.45492999121121
RAW,01-Credit Card Fraud Detection,v2,3.119076064621981e-16,1.6513085794769975,-72.7157275629303,22.0577289904909
RAW,01-Credit Card Fraud Detection,v3,-1.3633524919768066e-15,1.5162550051777717,-48.3255893623954,9.38255843282114
RAW,01-Credit Card Fraud Detection,v4,2.1113268745476085e-15,1.4158685749409203,-5.68317119816995,16.8753440335975
RAW,01-Credit Card Fraud Detection,v5,9.796568111432642e-16,1.3802467340314395,-113.743306711146,34.8016658766686
RAW,01-Credit Card Fraud Detection,v6,1.5100407990523834e-15,1.3322710897575754,-26.1605059358433,73.3016255459646
RAW,01-Credit Card Fraud Detection,v7,-5.42158836862075e-16,1.237093598182666,-43.5572415712451,120.589493945238
RAW,01-Credit Card Fraud Detection,v8,1.026905650640441e-16,1.1943529026692035,-73.2167184552674,20.0072083651213
RAW,01-Credit Card Fraud Detection,v9,-2.4224546273782102e-15,1.098632089224319,-13.4340663182301,15.5949946071278
RAW,01-Credit Card Fraud Detection,v10,2.2260780757685486e-15,1.088849765402517,-24.5882624372475,23.7451361206545
RAW,01-Credit Card Fraud Detection,v11,1.7064239784843682e-15,1.0207130277115586,-4.79747346479757,12.0189131816199
RAW,01-Credit Card Fraud Detection,v12,-1.2430601430478238e-15,0.9992013895301448,-18.6837146333443,7.8483920756446
RAW,01-Credit Card Fraud Detection,v13,8.352921119946204e-16,0.9952742301251534,-5.79188120632084,7.12688295859376
RAW,01-Credit Card Fraud Detection,v14,1.2286561824309816e-15,0.9585956112570638,-19.2143254902614,10.5267660517847
RAW,01-Credit Card Fraud Detection,v15,4.843945738369545e-15,0.915316011610439,-4.49894467676621,8.87774159774277
RAW,01-Credit Card Fraud Detection,v16,1.4336660309784372e-15,0.8762528873883704,-14.1298545174931,17.3151115176278
RAW,01-Credit Card Fraud Detection,v17,-3.777405945805621e-16,0.8493370636743892,-25.1627993693248,9.25352625047285
RAW,01-Credit Card Fraud Detection,v18,9.760679213305696e-16,0.8381762095288414,-9.49874592104677,5.04106918541184
RAW,01-Credit Card Fraud Detection,v19,1.0384977404347022e-15,0.8140405007685786,-7.21352743017759,5.59197142733558
RAW,01-Credit Card Fraud Detection,v20,6.406692900993326e-16,0.7709250248871168,-54.497720494566,39.4209042482199
RAW,01-Credit Card Fraud Detection,v21,1.6862008387137017e-16,0.734524014371313,-34.8303821448146,27.2028391573154
RAW,01-Credit Card Fraud Detection,v22,-3.3804383531067893e-16,0.7257015604409116,-10.933143697655,10.5030900899454
RAW,01-Credit Card Fraud Detection,v23,2.673353408345847e-16,0.6244602955949903,-44.8077352037913,22.5284116897749
RAW,01-Credit Card Fraud Detection,v24,4.4748661360575374e-15,0.6056470678271602,-2.83662691870341,4.58454913689817
RAW,01-Credit Card Fraud Detection,v25,5.105997208289615e-16,0.5212780705409424,-10.2953970749851,7.51958867870916
RAW,01-Credit Card Fraud Detection,v26,1.6846352169266018e-15,0.4822270132610573,-2.60455055280817,3.5173456116238
RAW,01-Credit Card Fraud Detection,v27,-3.673406847200072e-16,0.4036324949650307,-22.5656793207827,31.6121981061363
RAW,01-Credit Card Fraud Detection,v28,-1.23037983974108e-16,0.3300832641602509,-15.4300839055349,33.8478078188831
RAW,01-Credit Card Fraud Detection,amount,88.34961925093134,250.12010924018858,0,25691.16
RAW,01-Credit Card Fraud Detection,radius1,NA,NA,NA,NA
RAW,01-Credit Card Fraud Detection,texture1,NA,NA,NA,NA
RAW,01-Credit Card Fraud Detection,perimeter1,NA,NA,NA,NA
RAW,01-Credit Card Fraud Detection,area1,NA,NA,NA,NA
RAW,01-Credit Card Fraud Detection,smoothness1,NA,NA,NA,NA
RAW,01-Credit Card Fraud Detection,compactness1,NA,NA,NA,NA
